,n:8192 iter:0,n:8192 iter:1,n:8192 iter:2,n:8192 iter:3,n:8192 iter:4,n:8192 iter:5,n:8192 iter:6,n:8192 iter:7,n:8192 iter:8,n:8192 iter:9
0,0.15619579186851168,0.17813612047864852,0.8292915017045931,0.23882608661069243,0.953122514536862,0.5531581397674264,0.14826372126827478,0.7610992634306388,0.7095015682297321,0.14110608343326433
1,0.15979188613432968,0.17460004110632624,0.8264990898013436,0.24395896698664518,0.9585964518711154,0.5488257614977693,0.16206438456293476,0.7641504487628148,0.7125773179878863,0.14324923960043515
2,0.1612915378231277,0.18107901239593635,0.8230610384617929,0.23940577509288563,0.9556620239408403,0.5475477551493754,0.1481979115792439,0.7589269619608754,0.6985586874334475,0.13918926364327974
3,0.1637569738711435,0.17718238998196803,0.822313128585513,0.2501799151713144,0.9559423644691208,0.5399523647906042,0.15572670435749203,0.755585703136147,0.6962834437498148,0.14145049530993337
4,0.1696796445139004,0.1755146008685255,0.8183110570627421,0.24657567361787885,0.9514135380514385,0.5385233151680334,0.15500958742210172,0.7696631198563421,0.6859278048186555,0.1540703700992894
5,0.1705938120264264,0.19046670076838987,0.8218265803179795,0.24743558275866126,0.94990112587662,0.5483600125163548,0.1408472904677064,0.7717002244133591,0.6864587042281588,0.15391010060119867
6,0.18022607667475984,0.1906129328229512,0.8147892647341056,0.24558431580207618,0.9501274911440918,0.5494510819595385,0.1447636860567278,0.7813310976021978,0.6881380485468018,0.15080391131330195
7,0.18062836360887813,0.18616856621674374,0.8191637725529468,0.2603359423556986,0.9486126928586137,0.555381914748585,0.1480977703614942,0.795556634703846,0.6834278637608028,0.1532924555036292
8,0.16971439760215648,0.18300904522425387,0.8208970410332578,0.2779208186997138,0.9465091760573625,0.5484514108757323,0.14819967779901028,0.7960253905572019,0.6890282928721245,0.1516472438555269
9,0.18254868636320706,0.19275807823963045,0.8342357655361166,0.26741702388859984,0.9391984888028045,0.5463933653191472,0.14451208898553486,0.8019776109094963,0.7002420351755996,0.1509963766133016
10,0.18324924461517705,0.19283367777517305,0.8337565560428929,0.26480797236694287,0.9369081657174777,0.5587811070334535,0.1306659646507697,0.7968822510312525,0.6917895832390003,0.14698607154377671
11,0.195278656906862,0.2032911531411268,0.844962652757458,0.26529121016136853,0.9347321079562534,0.5687309732220422,0.13116558452892305,0.7829763640346618,0.6794635005393574,0.14731314219458638
12,0.2059045052072521,0.19526444263648166,0.8552094957508188,0.2632151610890437,0.9418183449499714,0.5569237326084061,0.13711314739388683,0.8033856726248453,0.6839959920539017,0.147565747066145
13,0.19319779618586158,0.2002205984936748,0.8540133240313558,0.2711287269861406,0.9411156644125277,0.5687063746772699,0.13123278497566382,0.7903580966433843,0.6846475065641016,0.14144157853983572
